"Resource Name","Resource Group","Type","Spent","Location","Meter Name","Meter Category","Meter SubCategory"
"asraz2azdiag610","asraz2az","Microsoft.Storage/storageAccounts","0.000002","euwest","Standard IO - Table (GB)","Storage","Locally Redundant"
,"RGUKTdemo","Virtual Network","1.000000","","Basic Gateway Hours","Networking","Virtual Network"
"webapplication3","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"rebondsstorage","Storage","0.003000","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"gopinath-testdc-ip","gopinath-bvrm--azurelabexam","Microsoft.Network/publicIPAddresses","6.99999999999999923","westus","IP Address Hours","Networking","Reserved IP"
,"0fportalvhdsv7tlx8fmxv27","Storage","0.000010","JA West","Standard IO - Table (GB)","Storage","Locally Redundant"
,"HydNetwork","Virtual Network","1.000000","","Basic Gateway Hours","Networking","Virtual Network"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.000199","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"0fportalvhdsv7tlx8fmxv27","Storage","0.003000","JA West","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"visualtestap","testrg8976","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"ThroughScript","Storage","0.000010","East US","Standard IO - Table (GB)","Storage","Geo Redundant"
,"wqportalvhds9q1bf8gs1ftq","Storage","0.198425","Southeast Asia","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"MyTestVnet2","Virtual Network","1.000000","","Standard Gateway Hours","Networking","Virtual Network"
,"2tportalvhdsdczqkv0r16sf","Storage","0.000005","West US","Standard IO - Table (GB)","Storage","Locally Redundant"
,"dgportalvhdsmg7c99qg0rtk","Storage","0.003000","South Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","1.519780","East US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"testazurewebapp098","testwebrg","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","0.006736","eastus2","Data Transfer Out (GB)","Networking",
,"automationsa","Storage","0.000020","Southeast Asia","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
,"vg1","Storage","0.000010","West US","Standard IO - Table (GB)","Storage","Locally Redundant"
,"2tportalvhdsdczqkv0r16sf","Storage","0.003000","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"teststorage90","Storage","0.000010","South Central US","Standard IO - Table (GB)","Storage","Geo Redundant"
,"vg1","Storage","0.003000","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"testmig2newportal","Storage","0.000005","East US","Standard IO - Table (GB)","Storage","Locally Redundant"
,"RGUKTVNET","Virtual Network","1.000000","","Basic Gateway Hours","Networking","Virtual Network"
"asraz2azdiag610","asraz2az","Microsoft.Storage/storageAccounts","0.0006","euwest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"poc3105","poc","Microsoft.Storage/storageAccounts","0.2784","apsoutheast","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"samincpaas","assessmentautomation","Microsoft.Sql/servers","0.208333333333333320","westus","Standard S0 Database Days","Data Services","SQL Database"
"poc3105","poc","Microsoft.Storage/storageAccounts","0.061816","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","0.000015","East US","Standard IO - Table (GB)","Storage","Locally Redundant"
,"rebondsstorage","Storage","0.000010","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
,"cspazuretest","Storage","0.003000","Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
,"wqportalvhds9q1bf8gs1ftq","Storage","0.003000","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","0.003000","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"2tportalvhdsdczqkv0r16sf","Storage","0.100135","West US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"vg1","Storage","0.020900","West US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"dgportalvhdsmg7c99qg0rtk","Storage","0.000010","South Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
"webapp123","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"testmig2newportal","Storage","0.101435","East US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"ThroughScript","Storage","0.003000","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
,"classictwo","Storage","0.000010","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
"webapplication2","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"poc3105","poc","Microsoft.Storage/storageAccounts","0.059487","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"kbportalvhdszbzl0n2ck0gz","Storage","0.000010","East Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
,"classictwo","Storage","0.003000","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"n5portalvhdswj63sl7hq72f","Storage","0.000002","Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","6.966806","eastus2","Compute Hours","Virtual Machines","Standard_D1_v2 VM (Windows)"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.002118","apsoutheast","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"azureratecard","assessmentautomation","Microsoft.Sql/servers","0.999999999999999936","westus","Standard S0 Database Days","Data Services","SQL Database"
"nelabdisks744","nelab","Microsoft.Storage/storageAccounts","0.000072","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"storagebhaskar","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.413712","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
"manjurgdisks751","manjurg","Microsoft.Storage/storageAccounts","0.462264","uscentral","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","0.000600","East US","Standard IO - Block Blob Delete Operation Units (in 10,000s)","Data Management",
"automationtest","automationtest","Microsoft.Storage/storageAccounts","1.593648","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"ThroughScript","Storage","0.014600","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","20.950419","eastus2","Compute Hours","Virtual Machines","Standard_D1_v2 VM (Windows)"
"rdslabrgdisksad276","rdslabrg","Microsoft.Storage/storageAccounts","0.0156","jawest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","6.6584","uswest","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
,"8yportalvhdsc30ms13v4zz2","Storage","0.014600","JA West","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","3.137600","East US","Standard IO - Page Blob Read Operation Units (in 10,000s)","Data Management",
"rtechrgdiag181","rtechrg","Microsoft.Storage/storageAccounts","0.000120","useast2","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"storageforautomation","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.0146","euwest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.1443","uswest","Standard IO - Block Blob Delete Operation Units (in 10,000s)","Data Management",
,"testmig2newportal","Storage","0.000044","East US","Standard IO - Table (GB)","Storage","Locally Redundant"
"storagebhaskar","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.0146","apeast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"rebondsstorage","Storage","0.000048","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
"samincpaas","assessmentautomation","Microsoft.Sql/servers","0.999999999999999936","westus","Standard S0 Database Days","Data Services","SQL Database"
"asraz2azdiag610","asraz2az","Microsoft.Storage/storageAccounts","0.000071","euwest","Standard IO - Table (GB)","Storage","Locally Redundant"
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.001800","eunorth","Standard IO - Block Blob (GB)","Storage","Read-Access Geo Redundant"
"storageforautomation","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.0156","euwest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"rktestdemostrg","rktestdemorg","Microsoft.Storage/storageAccounts","0.0051","uksouth","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
,"kbportalvhdszbzl0n2ck0gz","Storage","0.000048","East Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
"visualtestap","testrg8976","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"rajiv123","rdslabrg","Microsoft.Storage/storageAccounts","0.000624","jawest","Data Transfer Out (GB)","Networking",
"saitest","testsai","Microsoft.Storage/storageAccounts","0.001083","apsoutheast","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
,"testmig2newportal","Storage","0.486888","East US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"saitest","testsai","Microsoft.Storage/storageAccounts","0.0290","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"rajiv123","rdslabrg","Microsoft.Storage/storageAccounts","0.001081","jawest","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
"AAccountClassic","resourcegrp-bhaskar","Microsoft.Automation/automationAccounts","10.416666666666666","zone1","Basic Automation Minutes","App Services","Automation"
"rajiv123","rdslabrg","Microsoft.Storage/storageAccounts","0.0289","jawest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"storageasr10","asrservers","Microsoft.Storage/storageAccounts","0.25344","apeast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"ramyarsv","ramya-bvrm-azurelabexam","Microsoft.RecoveryServices/vaults","1.511395","australiasoutheast","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"nelabdisks744","nelab","Microsoft.Storage/storageAccounts","0.0051","useast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"asraz2azdisks442","asraz2az","Microsoft.Storage/storageAccounts","0.032256","euwest","Premium Storage - Page Blob/P10 (Units)","Storage","Locally Redundant"
"testmig2newportalv2","testmigratearm","Microsoft.Storage/storageAccounts","0.496992","useast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"teststoragehari","rgroup","Microsoft.Storage/storageAccounts","0.0145","ussouthcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"rktestdemostrg","rktestdemorg","Microsoft.Storage/storageAccounts","0.962520","uksouth","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"forsanjaydisks755","forsanjay","Microsoft.Storage/storageAccounts","3.665256","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"teststorageforlt","testresourcegroup","Microsoft.Storage/storageAccounts","0.000072","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
"storageforautomation","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","3.3292","euwest","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.0290","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"testrgpdisks781","testrgp","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","1.199268","useast2","Standard IO - Table (GB)","Storage","Locally Redundant"
"labbackup","labexam2","Microsoft.RecoveryServices/vaults","0.461682","eastus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"pocstr","poc","Microsoft.Storage/storageAccounts","0.064512","apsoutheast","Premium Storage - Page Blob/P10 (Units)","Storage","Locally Redundant"
"gopinathstorage2","gopinath-testrg","Microsoft.Storage/storageAccounts","0.000048","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"rdsstor","rdslabrg","Microsoft.Storage/storageAccounts","0.000120","jawest","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"asraz2azdiag610","asraz2az","Microsoft.Storage/storageAccounts","0.0177","euwest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgpdiag234","testrgp","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"labexam","labexam2","Microsoft.RecoveryServices/vaults","0.459867","southeastasia","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"blobazurene","testhotstorage","Microsoft.Storage/storageAccounts","0.000528","uswestcentral","Data Transfer In (GB)","Networking",
"scriptfile","scriptfiles","Microsoft.Storage/storageAccounts","0.000288","ussouthcentral","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"sudhakarp445","sudhakarprg832351","Microsoft.Storage/storageAccounts","0.0146","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"teststoragesql1","testrgsql1","Microsoft.Storage/storageAccounts","0.0146","useast2","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgatoreac303","testrg303","Microsoft.Storage/storageAccounts","0.000072","usnorthcentral","Standard IO - Table (GB)","Storage","Locally Redundant"
"testvault","testrg","Microsoft.RecoveryServices/vaults","0.003491","eastus2","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
,"ThroughScript","Storage","0.000048","East US","Standard IO - Table (GB)","Storage","Geo Redundant"
"rdslabrgdiag897","rdslabrg","Microsoft.Storage/storageAccounts","0.000072","jawest","Standard IO - Table (GB)","Storage","Locally Redundant"
"dsamplelab3803","samplelabrg883310","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"gopinathrec","gopinath-bvrm--azurelabexam","Microsoft.RecoveryServices/vaults","2.318778","westus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"azurestorage123","azureservers","Microsoft.Storage/storageAccounts","0.44808","apeast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"teststorageforlt","testresourcegroup","Microsoft.Storage/storageAccounts","0.0146","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"testmig2newportal","Storage","0.014600","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"teststoreac666","testazurerg","Microsoft.Storage/storageAccounts","0.0145","ukwest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"rebondsstorage","Storage","0.014500","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgpdisks781","testrgp","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.7460","useast2","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"gopinathstorage2","gopinath-testrg","Microsoft.Storage/storageAccounts","0.0145","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testbackupvault","mytestresourcegroup","Microsoft.RecoveryServices/vaults","0.016129","southcentralus","Protected Instances","Recovery Services","Backup"
"ASRVault","ASRservers","Microsoft.RecoveryServices/vaults","0.032258","eastasia","Protected Instances","Recovery Services","Backup"
"PublicIp","NRP-RG","Microsoft.Network/publicIPAddresses","23.99999999999999736","westus","IP Address Hours","Networking","Reserved IP"
"sudhakarp531","sudhakarprg832351","Microsoft.Storage/storageAccounts","0.000072","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.000528","eunorth","Data Transfer In (GB)","Networking",
"forsanjaydiag678","forsanjay","Microsoft.Storage/storageAccounts","0.000144","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"gopinathteststorage2","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","1.744776","useast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","0.000699","uswest","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
"testbackupvault9","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-South-Central-US","microsoft.backup/BackupVault","0.016129","southcentralus","Protected Instances","Recovery Services","Backup"
,"RGUKTVNET","Virtual Network","24.000000","","Basic Gateway Hours","Networking","Virtual Network"
,"vg1","Storage","0.014600","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.000552","uscentral","Data Transfer In (GB)","Networking",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.045000","useast2","Standard IO - Files (GB)","Storage","Locally Redundant"
"rktestdemostrg","rktestdemorg","Microsoft.Storage/storageAccounts","0.0146","uksouth","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgatoreac303","testrg303","Microsoft.Storage/storageAccounts","0.0146","usnorthcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"RGUKTBackup","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-Brazil-South","microsoft.backup/BackupVault","0.048387","brazilsouth","Protected Instances","Recovery Services","Backup"
,"automationsa","Storage","0.000096","Southeast Asia","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"AutomationTest","forsample","Microsoft.Automation/automationAccounts","26.2","zone1","Basic Automation Minutes","App Services","Automation"
"poc3105","poc","Microsoft.Storage/storageAccounts","1.483584","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"dsamplelab3803","samplelabrg883310","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgpdisks781","testrgp","Microsoft.Storage/storageAccounts","0.0051","uswest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.2952","useast2","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.01728","ukwest","Data Transfer In (GB)","Networking",
"nelabdisks744","nelab","Microsoft.Storage/storageAccounts","0.0146","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"RGUKTdemo","Virtual Network","24.000000","","Basic Gateway Hours","Networking","Virtual Network"
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.0290","eunorth","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"rtechrgdisks488","rtechrg","Microsoft.Storage/storageAccounts","4.603224","useast2","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"rktestdemorgdisks805","rktestdemorg","Microsoft.Storage/storageAccounts","0.000055","uksouth","Standard IO - Table (GB)","Storage","Locally Redundant"
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.0290","uscentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
,"cspazuretest","Storage","0.014600","Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"sudhakarp531","sudhakarprg832351","Microsoft.Storage/storageAccounts","0.0145","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testrgatoreac303","testrg303","Microsoft.Storage/storageAccounts","0.0054","usnorthcentral","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
,"automationsa","Storage","0.000048","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
"rtechrgdiag181","rtechrg","Microsoft.Storage/storageAccounts","0.069024","useast2","Standard IO - Table (GB)","Storage","Locally Redundant"
,"wqportalvhds9q1bf8gs1ftq","Storage","0.000048","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
,"9yportalvhds5hm5fg5gr47m","Storage","0.014500","North Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","3.3408","useast2","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"storageonprem","onpremservers","Microsoft.Storage/storageAccounts","1.032984","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"asrserversdiag610","asrservers","Microsoft.Storage/storageAccounts","0.000072","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
"asrserversdisks730","asrservers","Microsoft.Storage/storageAccounts","0.456936","apeast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"testrg303diag241","testrg303","Microsoft.Storage/storageAccounts","0.000072","usnorthcentral","Standard IO - Table (GB)","Storage","Locally Redundant"
,"wqportalvhds9q1bf8gs1ftq","Storage","0.952440","Southeast Asia","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"rdsautostg","rdsauto","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"testlaptopMARS","testlaptop","Microsoft.RecoveryServices/vaults","0.016129","southeastasia","Protected Instances","Recovery Services","Backup"
"azurebvrm","azurebvrm","Microsoft.Storage/storageAccounts","1.888200","usnorthcentral","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"testvmasr","ASRservers","Microsoft.RecoveryServices/vaults","0.016129","northeurope","Protected Instances","Recovery Services","Backup"
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","2.734464","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"mmkkuu789","Storage","0.057600","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"RGUKTBackup","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-Brazil-South","microsoft.backup/BackupVault","0.171945","brazilsouth","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"teststoragesql1","testrgsql1","Microsoft.Storage/storageAccounts","0.000264","useast2","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"forsample599","forsample","Microsoft.Storage/storageAccounts","1.801464","eunorth","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"asrserversdiag610","asrservers","Microsoft.Storage/storageAccounts","0.0146","apeast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"teststorage190","testrg345","Microsoft.Storage/storageAccounts","0.000055","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"AutomationTest","resourcegrp-bhaskar","Microsoft.RecoveryServices/vaults","0.028174","eastasia","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.001251","uscentral","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
"blobazurene","testhotstorage","Microsoft.Storage/storageAccounts","0.001081","uswestcentral","Geo-Replicated Data Transfer (GB)","Data Management",
"testrg303diag241","testrg303","Microsoft.Storage/storageAccounts","0.0146","usnorthcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"2tportalvhdsdczqkv0r16sf","Storage","0.000024","West US","Standard IO - Table (GB)","Storage","Locally Redundant"
"testmig2newportalv2","testmigratearm","Microsoft.Storage/storageAccounts","0.000048","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"dgportalvhdsmg7c99qg0rtk","Storage","0.000048","South Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
"gopinath-testdc-ip","gopinath-bvrm--azurelabexam","Microsoft.Network/publicIPAddresses","23.99999999999999736","westus","IP Address Hours","Networking","Reserved IP"
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","3.3408","uswest","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"forsanjaydisks755","forsanjay","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
,"n5portalvhdswj63sl7hq72f","Storage","0.000024","Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
"rdslabrgdisksad276","rdslabrg","Microsoft.Storage/storageAccounts","1.708104","jawest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","0.000066","East US","Standard IO - Table (GB)","Storage","Locally Redundant"
